phone_id	total	good	neutral	bad	url
3398125	6310	6008	175	127	http://item.m.jd.com/product/3398125.html
3828650	126390	120979	3040	2371	http://item.m.jd.com/product/3828650.html
3235724	126390	120979	3040	2371	http://item.m.jd.com/product/3235724.html
2766752	51329	48781	1510	1038	http://item.m.jd.com/product/2766752.html
2876449	122745	118606	2377	1762	http://item.m.jd.com/product/2876449.html
2200684	15710	14822	474	414	http://item.m.jd.com/product/2200684.html
3097849	9693	9222	235	236	http://item.m.jd.com/product/3097849.html
3783186	362	343	12	7	http://item.m.jd.com/product/3783186.html
3772022	438	407	16	15	http://item.m.jd.com/product/3772022.html
10429992152	70305	68649	909	747	http://item.m.jd.com/product/10429992152.html
10183487366	41065	39730	773	562	http://item.m.jd.com/product/10183487366.html
10474018960	41072	40183	493	396	http://item.m.jd.com/product/10474018960.html
10065238236	20524	19626	567	331	http://item.m.jd.com/product/10065238236.html
10150492498	17857	17335	277	245	http://item.m.jd.com/product/10150492498.html
10183556899	9975	9665	165	145	http://item.m.jd.com/product/10183556899.html
10782445805	2401	2302	54	45	http://item.m.jd.com/product/10782445805.html
10474018961	41072	40183	493	396	http://item.m.jd.com/product/10474018961.html
3953282	1209	1164	25	20	http://item.m.jd.com/product/3953282.html
3953254	22702	22091	313	298	http://item.m.jd.com/product/3953254.html
2473905	200632	193516	3629	3487	http://item.m.jd.com/product/2473905.html
2951512	32935	31607	801	527	http://item.m.jd.com/product/2951512.html
2848935	21184	20266	605	313	http://item.m.jd.com/product/2848935.html
2022008	19461	18564	566	331	http://item.m.jd.com/product/2022008.html
3280487	7896	7702	81	113	http://item.m.jd.com/product/3280487.html
2244423	14906	14071	446	389	http://item.m.jd.com/product/2244423.html
3865060	7896	7702	81	113	http://item.m.jd.com/product/3865060.html
3710218	7896	7702	81	113	http://item.m.jd.com/product/3710218.html
3280467	7896	7702	81	113	http://item.m.jd.com/product/3280467.html
3280471	7896	7702	81	113	http://item.m.jd.com/product/3280471.html
3710184	7896	7702	81	113	http://item.m.jd.com/product/3710184.html
3909950	3443	3216	89	138	http://item.m.jd.com/product/3909950.html
3243260	79332	76112	1517	1703	http://item.m.jd.com/product/3243260.html
10574826759	86	86	0	0	http://item.m.jd.com/product/10574826759.html
10419930777	8	8	0	0	http://item.m.jd.com/product/10419930777.html
3613977	9	9	0	0	http://item.m.jd.com/product/3613977.html
3821796	5723	5386	192	145	http://item.m.jd.com/product/3821796.html
1708185	29536	27800	915	821	http://item.m.jd.com/product/1708185.html
1220064	49685	46962	1437	1286	http://item.m.jd.com/product/1220064.html
1385679	57722	54111	2023	1588	http://item.m.jd.com/product/1385679.html
3153148	7471	7158	155	158	http://item.m.jd.com/product/3153148.html
2288929	28071	26718	731	622	http://item.m.jd.com/product/2288929.html
2868435	5815	5487	177	151	http://item.m.jd.com/product/2868435.html
1750526	20860	20133	356	371	http://item.m.jd.com/product/1750526.html
1859122	14842	14314	276	252	http://item.m.jd.com/product/1859122.html
2895156	9307	8765	295	247	http://item.m.jd.com/product/2895156.html
1429868	27144	25624	798	722	http://item.m.jd.com/product/1429868.html
979281	7955	7324	281	350	http://item.m.jd.com/product/979281.html
3686824	1077	1022	28	27	http://item.m.jd.com/product/3686824.html
1155355	372	337	11	24	http://item.m.jd.com/product/1155355.html
1284030	15324	14375	550	399	http://item.m.jd.com/product/1284030.html
2206053	23537	22137	800	600	http://item.m.jd.com/product/2206053.html
1292929	304	291	5	8	http://item.m.jd.com/product/1292929.html
1398971	7314	6761	320	233	http://item.m.jd.com/product/1398971.html
2938299	346939	326643	10930	9366	http://item.m.jd.com/product/2938299.html
2712431	27789	25722	1093	974	http://item.m.jd.com/product/2712431.html
3922720	38114	35023	1478	1613	http://item.m.jd.com/product/3922720.html
2839509	62731	58423	2347	1961	http://item.m.jd.com/product/2839509.html
1386581	39251	36347	1829	1075	http://item.m.jd.com/product/1386581.html
3513173	8521	7867	364	290	http://item.m.jd.com/product/3513173.html
2140244	13502	12829	384	289	http://item.m.jd.com/product/2140244.html
3423304	2038	1944	56	38	http://item.m.jd.com/product/3423304.html
1334370	18000	17038	561	401	http://item.m.jd.com/product/1334370.html
2250255	55015	51553	2149	1313	http://item.m.jd.com/product/2250255.html
1433349	7108	6600	287	221	http://item.m.jd.com/product/1433349.html
1695224	1264	1113	80	71	http://item.m.jd.com/product/1695224.html
1595605	3316	3032	166	118	http://item.m.jd.com/product/1595605.html
1185983	13300	12436	534	330	http://item.m.jd.com/product/1185983.html
1137831	37271	33637	1901	1733	http://item.m.jd.com/product/1137831.html
883893	57660	54665	2051	944	http://item.m.jd.com/product/883893.html
1401447	6428	5715	410	303	http://item.m.jd.com/product/1401447.html
2076459	3456	3228	122	106	http://item.m.jd.com/product/2076459.html
2871614	55607	51995	2347	1265	http://item.m.jd.com/product/2871614.html
1211624	5499	5010	302	187	http://item.m.jd.com/product/1211624.html
2145111	112	101	3	8	http://item.m.jd.com/product/2145111.html
10669260220	318	299	13	6	http://item.m.jd.com/product/10669260220.html
10393148616	2071	2008	41	22	http://item.m.jd.com/product/10393148616.html
10162503062	364	338	16	10	http://item.m.jd.com/product/10162503062.html
1665060438	8875	8568	174	133	http://item.m.jd.com/product/1665060438.html
1022456996	24425	23545	591	289	http://item.m.jd.com/product/1022456996.html
10669260216	319	300	13	6	http://item.m.jd.com/product/10669260216.html
1022456037	73431	70437	2061	933	http://item.m.jd.com/product/1022456037.html
1449174881	27163	26220	581	362	http://item.m.jd.com/product/1449174881.html
1676868000	8875	8568	174	133	http://item.m.jd.com/product/1676868000.html
10393148617	2071	2008	41	22	http://item.m.jd.com/product/10393148617.html
10253816189	901	870	21	10	http://item.m.jd.com/product/10253816189.html
10162503058	364	338	16	10	http://item.m.jd.com/product/10162503058.html
3626146	345	322	15	8	http://item.m.jd.com/product/3626146.html
10654370492	620	571	28	21	http://item.m.jd.com/product/10654370492.html
3613961	43	42	1	0	http://item.m.jd.com/product/3613961.html
10669260214	318	299	13	6	http://item.m.jd.com/product/10669260214.html
3454217	2315	2161	78	76	http://item.m.jd.com/product/3454217.html
3397564	20995	19703	793	499	http://item.m.jd.com/product/3397564.html
2212291	7189	6511	355	323	http://item.m.jd.com/product/2212291.html
2179047	2541	2436	62	43	http://item.m.jd.com/product/2179047.html
2495166	600	552	29	19	http://item.m.jd.com/product/2495166.html
2593556	1169	1090	46	33	http://item.m.jd.com/product/2593556.html
